1|AMENACIDBB|Sélection=Big Bag (1 m³)|76.638| 57.00|10000|0|1|1
1|AMENACIDP50|Sélection=Palette de 51 sacs de 50 L|248.9198|180.64|10000|0|1|2
1|AMENACIDS50|Sélection=Sac de 50 L|6.5084|  4.72|10000|1|1|3
2|AGROSIL|Sélection=Sac de 25 kg, 8-15 kg/are selon utilisation|93.0044| 71.81|10000|1|2|1
3|ALSIL|Sélection=Vrac (m³)|57.9348| 41.05|10000|1||1
4|AGRAFE20X20X20|Sélection=Agrafes acier en U 4 mm, 20 cm, 100 pièces|14.52| 10.00|10000|0|3|1
5|AIRFLOW960|Sélection=Pompe à air Air Flow 960 (2 x 500 l/h)|55.9504| 36.99|10000|0||1
6|AGRAFESMAX|Sélection=Agrafes pour pince HT-B, par 4800 pièces|4.3318|  2.98|10000|0|4|1
7|ALUBOX190|Sélection=Alubox 190cm (longueur 201 cm, profondeur 16,5 cm)|288.9964|217.00|10000|1||1
7|ALUBOXANCRAGEOL|Sélection=Ancrage au sol|65.0012| 49.00|10000|0||2
7|ALUBOXPROFILALU|Sélection=Profil de finition supérieur en alu|46.9964| 35.00|10000|0||3
