DCMLAVEETANG11/1625K|Lave|Substrat très poreux et inerte d'origine volcanique.  Idéal comme matériel filtrant sur le fond de l'étang ou dans le filtre.  Cette lave peut aussi être utilisée dans des paniers de plantation pour l'ancrage de plantes oxygénantes et de plantes de marais.<br> <br> <br><a target='frmPDF' href='/documents/lava_11-16_2004.pdf'>Description détaillée (format pdf)</a>|Divers substrats de culture RenameClassement2 15|1|../img/import/dcm/lave_etang.jpg;../img/import/MichelOprey/lave_16-32.jpg;../img/import/MichelOprey/lave_8-16.jpg;../img/import/MichelOprey/lave_50-80.jpg;../img/import/MichelOprey/gravillon_de_lave_8-16.jpg|NON
SUBSTRATETANG4/12/11|Substrat pour étangs 4-12 mm|Ce substrat est à utiliser dans les étangs, dans des paniers de plantation ou sur le fond de l'étang.|Divers substrats de culture RenameClassement2 15|1|../img/import/MichelOprey/substrat_etang_4-12.jpg|NON
DCMHYDROGRANS40L|Hydro-granulés|Les Hydro-granulés sont des billes d'argile expansée à haute température. De structure poreuse, ces granulés sont lavés et ont une très basse concentration en sels. Ils conviennent très bien pour l'hydroculture ou en mélange dans les terreaux pour favoriser une bonne reprise de la végétation.|Divers substrats de culture RenameClassement2 15|1|../img/import/lp/argex.jpg|NON
ARGEX4-8CONCASSE|Argex 4/8 concassé|Les billes d'argex sont des billes d'argile expansée à haute température. De structure poreuse, ces granulés sont lavés et ont une très basse concentration en sels. Ils conviennent très bien pour l'hydroculture ou en mélange dans les terreaux pour favoriser une bonne reprise de la végétation.  Mélangés au substrat, ils en diminuent la densité.<br><br>Densité 320kg/m³.|Divers substrats de culture RenameClassement2 15|1|../img/import/lp/argexconc.jpg|NON
PERLITE|Perlite|Roche volcanique, expansée en cellules fermées blanches à paroi dure, inerte et neutre (pH 6,8), stérile et aérée, hydrophile et isolante.<br><br>Utilisations : pure en multiplication, en mélange dans les substrats à raison de 30 à 50 %.|Divers substrats de culture RenameClassement2 15|1|../img/import/divers/perlite.jpg|NON
VERMICULITE|Vermiculite||Divers substrats de culture RenameClassement2 15|1||NON
CPTBB|Compost vert|La technique originale et le soin apporté à la fabrication de ce compost garantissent un produit de qualité supérieure. Il est tamisé à la maille de 20 mm et peut être utilisé avant toute culture sans restriction grâce à un compostage rigoureux. Afin de garantir une qualité irréprochable, le compost est analysé régulièrement par des laboratoires agréés.  pH : 6,5 - 7 <br> <br><a target='frmPDF' href='/documents/compost.pdf'>Description détaillée (format pdf)</a>|Amendements organiques purs RenameClassement2 27|3|../img/import/lp/compost.jpg|NON
FCHBB|Fumier de champignons|Après une première utilisation en culture de champignons, ce fumier de cheval parfaitement composté est très efficace comme amendement pour la création de parterres, jardins et pelouses.  pH : 6,7 <br> <br><a target='frmPDF' href='/documents/fumier.pdf'>Description détaillée (format pdf)</a>|Amendements organiques purs RenameClassement2 27|3|../img/import/lp/fumier.jpg|NON
BENTONITE30KG|Bentonite|Argile spéciale avec un fort pouvoir de rétention d'eau, convient pour étanchéifier les étangs ( 4-6kg/m² à mélanger sur 10 cm de profondeur) ou pour augmenter la rétention en eau des substrats.|Amendements organiques purs RenameClassement2 27|1|../img/import/divers/bentonite.jpg|NON
TBFBB|Tourbafum|Composé de tourbe noire, de compost vert et de fumier de champignons, le tourbafum est un amendement organique 100 % naturel.  <br><br>Il convient comme amendement pour la culture écologique.  Il stimule la vie microbienne et la structure du sol.  Il permet une réduction de la fréquence des arrosages et apporte une fumure de fond durable.<br><br>Son utilisation est idéale pour les potagers et les plantations de pleine terre.  <br><br>Sa richesse oblige à le mélanger au sol en place, il ne peut pas être utilisé pur.<br><br><br><br>Matière organique : 20 %<br><br>pH : environ 7 <br> <br><a target='frmPDF' href='/documents/tourbafum.pdf'>Description détaillée (format pdf)</a>|Amendements organiques composés RenameClassement2 6|3|../img/import/lp/tourbafum.jpg|NON
