POTCONIQUEOPENM|Pot conique en polyéthylène|Couleurs : Framboise, Anis, Anthracite, Rouge|Bacs à fleurs et murs végétaux RenameClassement2 22|1||NON
PROTECBOIS|Bois de jardin - produit de protection et de décoration|Produit de protection décoratif des bois à base résines naturelles renforcées avec des huiles siccatives.  Aspect satiné.  Usage sur les boiseries extérieures exposées clôtures, poteaux, bardages, pergolas, ...<br><br>Mise en oeuvre aisée, produit microporeux qui ne s'écaille pas.  Prêt à l'emploi, 10 à 15 m² par litre.|Produits de traitement du bois RenameClassement2 73|1||NON
GOUDRONPROTEC|Goudron de protection des bois enterrés|Le goudron de protection VERNIS NOIR protège durablement contre l'humidité et la rouille, le bois et le fer qu'ils soient enterrés ou non. Par son pouvoir isolant durable et efficace, il résiste aux intempéries et évite au bois de pourrir et aux métaux ferreux de rouiller.  Formule fluide facile à utiliser.|Produits de traitement du bois RenameClassement2 73|1||NON
BACCOMPOST|Bac à compost en acacia|Bac à compost réalisé en acacia, bois naturellement durable et résistant aux intempéries et aux insectes, ne nécessitant aucun traitement.<br><br>Capacité de 1056 litres, couvercle avec charnière.<br><br><br><br>Kit prêt à monter avec lames emboîtables. Vidage par le bas en retirant les 3 lames amovibl|Produits divers RenameClassement2 20;Accueil|1|../img/import/divers/baccompostacacia.jpg|OUI
FIXPLANTERNOIR120|Bac à planter en kit|Kit à déplier très facile d'utilisation composé de planche en pin peintes en noir (existe également en brun) et que l'on peut supperposer pour réaliser des bacs de plantation surélevés.<br><br>Il existe 3 dimensions qui peuvent se combiner : 120 x 80, 80 x 60 et 60 x 40 cm.<br><br>Idéal pour réaliser un potager rapidement.|Produits divers RenameClassement2 20;Accueil|1||OUI
BACCOMPOSTPVC|Bac à compost en PVC|Bac à compost pour le compostage plus poussé à domicile.<br><br>Cest le premier bac à compost sur le marché qui est modulaire et qui peut être agrandi. Vous pouvez y ajouter autant de compartiments (100 x 100 cm, 100 x 120 ou 120 x 120 cm) que vous voulez. Ce bac est aussi équipé de planches amovibles sur le devant.<br><br>Module 100/120<br><br>Longueur x largeur x hauteur: 119 cm x 136 cm x 100 cm<br><br>Contenu: 1280 litre<br><br>Poids module: ±90 kg|Produits divers RenameClassement2 20;Accueil|1||OUI
COLOCTO|Table Pique nique||Produits divers RenameClassement2 20|1|;../img/import/desindo/table.jpg|NON
SHINGLESWRC|Shingle n°81 en Western Red Cedar (Blu Label)|Les Shingles sont une sorte de tuile en bois.  Elles sont disponible en différentes largeurs allant de 75 à 255 mm, la longueur est de 45 cm pour une épaisseur de 6 mm.  Elles sont emballées par 2,25 m² (recouvrement de 2/3 compris).  Elles se fixent avec des clous galvanisés.<br><br>Blu Label  = la plus haute qualité disponible dans la production.|Produits divers RenameClassement2 20|1||NON
SPIRALES|Protecteurs arbre spirales|Les protecteurs spirales en PVC mi-dur et prévus de trous d'aération se déroulent autour du tronc.  Grâce à leur élasticité, la croissance n'est pas gênée.  En cas d'utilisation près des plantes délicates, nous vous conseillons de dérouler la spirale en combinaison avec un bambou pour éviter de casser la plante.  Couleur : gris.|Produits divers RenameClassement2 20|1||NON
COLPOT9X9X235|Poteau carré en pin raboté, non pointé||Produits divers RenameClassement2 20|1|;../img/import/desindo/poteaupinrabote.jpg|NON
CARPORTCHENE|Charpente en chêne à lancienne|Superbes structures complètes entièrement chevillées à lancienne, livrées en kit.<br><br>La charpente est calculée sur ordinateur en 3 D à vos souhaits. Les diverses pièces sont façonnées sur une fraise à commande numérique, combinant ainsi la beauté ancienne et la qualité du 21 ème siècle, le tout à un prix très raisonnable.<br><br>Carports, pergolas, pavillons de jardin, kiosques, abris pour bois, abris pour piscines, tout est possible. Sur devi <br> <br><a target='frmPDF' href='/documents/carport.pdf'>Description détaillée (format pdf)</a>|Structure modulaire RenameClassement2 45|1|../img/import/desindo/carport.jpg|NON
SEPCLOT35/100/5M|Clôture en châtaignier|Cette clôture en châtaignier naturel est fabriquée par les "Feuillardiers" traditionnels du Limousin. Sa couleur, sa durabilité naturelle et sa dureté en font un choix incontournable. Le fil d'assemblage est galvanisé à chaud. Idéalement, elle se fixe sur des piquets en châtaignier et se combine avec les portillons châtaigniers et barrières 'British Gates' <br> <br><a target='frmPDF' href='/documents/chataignier.pdf'>Description détaillée (format pdf)</a>|Clôtures RenameClassement2 82|1|../img/import/sepulchre/cloture.jpg|NON
