RASETTESHARK|Rasette multifonctions|Outil avec lames spéciales permettant un désherbage aisé, d'affiner la terre en profondeur.|Outillage divers RenameClassement2 23|1||NON
PINCEDECHETEASYCLEAN|Pince à déchet||Outillage divers RenameClassement2 23|1||NON
BALAIVOIRIE|Balai de voirie||Outillage divers RenameClassement2 23|1||NON
PLANTOIRBULBE|Plantoir à bulbe||Outillage divers RenameClassement2 23|1||NON
TENAILLEFERRAILLEUR|Tenailles - STANLEY|Tenaille de ferrailleur, forgée en acier au carbone haute qualité, affûtage de précision des taillants et mâchoires.  Longueur 250 mm|Outillage divers RenameClassement2 23|1|../img/import/pardaen/stanley-tenaille2.jpg;../img/import/pardaen/stanley-tenaille.jpg|NON
CUTTERSTANLEY|Cutter - STANLEY|Couteau Dynagrip avec lame à briser à cartouche.  Conception ergonomique, en matière synthétique ABS avec mécanisme interne en inox, blocage automatique de la lame par crans, curseur de blocage, cartouche pour 6 lames de rechange.  Largeur de lame : 18 mm.<br>Cutter Fatmax avec lame à briser.  Corps en inox pour force et durabilité, design aérodynamique pour plus de contrôle et de précision.  Système de blocage automatique de la lame, réserve intégrée avec 6 lames, casse lame intégré, avec agrafe de ceinture.|Outillage divers RenameClassement2 23|1|../img/import/pardaen/stanley-cutter.jpg|NON
DECAMETRESTANLEY|Mètres et décamètres - STANLEY|Mètre 5M à ruban enroulable TYLON, léger et compact, boîtier anti-choc, recul automatique avec bouton de déblocage,  avec agrafe pour port à la ceinture.<br><br>Décamètre 60M, boîtier ouvert en matière synthétique ABS avec poignée Dynagrip, système de réenroulement souple avec anneau d'accrochage rétractable, ruban renforcé en fibre de verre composé de 26 fils parallèles et prévu d'un revêtement en PVC, résistant à l'eau et à la corrosion.|Outillage divers RenameClassement2 23|1||NON
CORDE|Cordes et ficelles|Corde cablée (3 torons), polypropylène orange, flotte sur l'eau. Diamètre : 8 mm.  Longueur : 20 m|Outillage divers RenameClassement2 23|1|../img/import/divers/corde.jpg;../img/import/divers/ficelle.jpg;../img/import/divers/pelote.jpg|NON
CONESGNALISATION|Cône de signalisation|Quille de trafic, balis forme conique en polyéthylène souple, rayé horizontalement avec pied carré fixe.  Hauteur 30 cm, largeur pied : 22 cm.|Outillage divers RenameClassement2 23|1|../img/import/divers/cone.jpg|NON
BROSSECHANTIER|Paillasson avec brosse|Paillasson avec grille de base de 50 x 40 cm en acier galvanisé et brosse.|Outillage divers RenameClassement2 23|1|../img/import/divers/brosse.jpg|NON
BIRCHIRIS15L|Iris - Birchmeier|Pulvérisateur sous pression de 15 litres.  Le pulvérisateur à dos top pour les exigeants. Pression 6 bar.<br><br>Pompe extérieure puissante avec boîte à graisse intégrée, pied en acier robuste, robinet revolver en laiton avec filtre intégré, grande ouverture de remplissage avec filtre, buse à cône creux en laiton avec unsert en acier inoxydable, vidange du produit restant, récipient robuste avec protection UV, bretelle confortable et réglable.<br><br>10 ans de garantie|Pulvérisateurs à dos RenameClassement2 35|1|../img/import/divers/Iris.jpg|OUI
BIRCHCAPOT|Accessoires pour pulvérisateur - Birchmeier||Pulvérisateurs à dos RenameClassement2 35|1|../img/import/divers/capotblanc.jpg|OUI
MESTOPULVEBUGSI|Bugsi - Mesto|Pulvérisateur sous pression de 1,5 litres.  Orientable à 360 °C, buse réglable pour une pulvérisation fine et homogène.  Soupape de sécurité contre les supressions. Réservoir en plastique.|Pulvérisateurs à dos RenameClassement2 35|1||NON
MESTOPULVEMAX5L|Maxima - Mesto|Ce pulvérisateur est muni d'un réservoir et d'une pompe simple à utiliser en matière plastique de haute qualité, avec un entonnoir de remplissage intégré et un manomètre à piston avec une valve de sécurité intégrée.  Le tuyau de ce pulvérisateur est spiralé.  Maxima posséde une lance en laiton de 40 cm avec une buse en laiton de pulvérisation fine et une rallonge de lance de 40 cm.  L'ouverture de remplissage est séparée du système de mise à pression et le capuchon peut servir de gobelet doseur.  Le tamis amovible reste dans le pulvérisateur sans contaminer l'utilisateur ou l'environnement.  Une boîte de pièces de rechange (avec joints) est compris dans la boîte.<br><br><br><br>Volume contenu : 5 L<br><br>Capacité totale : environ 7,5 L<br><br>Pression d'utilisation : 3 bars<br><br>Poids à vide : 2,1 kg<br><br><br><br>Accessoires (en option) : bretelles confort (réf.7121 M) et des rallonges de lance jusqu'à 150 cm.|Pulvérisateurs à dos RenameClassement2 35|1|../img/import/mesto/mestopulvemax5l.jpg|NON
MESTOPULVEPROFI10L|Profi - Mesto|Ce pulvérisateur est muni d'un réservoir et d'une pompe simple à utiliser en matière plastique de haute qualité, et d'un manomètre à piston avec une valve de sécurité intégrée.  Le tuyau de ce pulvérisateur est spiralé.  Profi posséde une lance en laiton de 50 cm avec une buse en laiton de pulvérisation fine. Soupape d'arrêt avec tamis de filtrage. Repose pied pour appui stable, avec raccord de flexible intégré.<br><br><br><br>Volume contenu : 10 L<br><br>Capacité totale : environ 12,5 L<br><br>Pression d'utilisation : 3 bars<br><br>Poids à vide : 3,25 kg<br><br><br><br>Accessoires (en option) : rallonges de lance jusqu'à 150 cm.|Pulvérisateurs à dos RenameClassement2 35|1||NON
MESTOPULVERESIS5L|Resistent inox - Mesto|Le Resistent 3590 se porte en bandouillère sur l'épaule tandis que le Resistent 3610G se porte sur le dos grâce à des bretelles rembourrées.  Il est muni d'une pompe en laiton, d'une poignée de lance robuste avec un tamis de filtration et d'un verre de regard.  Le réservoir posséde une échelle graduée en litres.  La lance en laiton de 50 cm est orientable progressivement avec une buse de pulvérisation fine.<br><br><br><br>Volume contenu : 5 L / 10 L<br><br>Capacité totale : environ 8 L / environ 13,5 L<br><br>Pression d'utilisation : 6 bars<br><br>Poids à vide : 3,5 kg / 5 kg<br><br><br><br>Accessoires (en option) : rallonge de lance jusqu'à 300 cm, poignée de lance (1349G pour le 3590), coupelle de protection d'entonnoir (réf.6247), valve de remplissage d'air comprimé (réf.6210 A/B) et un système de portage au dos (réf.3961).|Pulvérisateurs à dos RenameClassement2 35|1|../img/import/mesto/mestopulveresis5l.jpg|NON
MESTOPULVEINOX10L|Inox - Mesto|Le Inox 3595 se porte en bandouillère sur l'épaule ou sur le dos avec les bretelles en option.  Il est muni d'une pompe en laiton, d'une poignée de lance robuste avec un tamis de filtration et d'un verre de regard.  Le réservoir posséde une échelle graduée en litres.  La lance en laiton de 50 cm est orientable progressivement avec une buse de pulvérisation à cône creux.<br><br>Volume contenu : 5 L / 10 L<br>Capacité totale : environ 9 L / environ 13,5 L<br>Pression d'utilisation : 6 bars<br>Poids à vide : 4,5 kg <br><br>Accessoires (en option) : rallonge de lance jusqu'à 300 cm, valve de remplissage d'air comprimé (réf.6210 NA/NB) et un système de portage au dos (réf.7121M).|Pulvérisateurs à dos RenameClassement2 35|1|../img/import/mesto/mestopulveresis10l.jpg;../img/import/mesto/mestopulveresis5l.jpg|NON
MESTOPULVERS125|RS125 - Mesto|Praktikus posséde un réservoir en matière plastique. Le transport est dorsal et la partie dorsale du réservoir est  rembourée. La lance en laiton est de 50 cm et est orientable à 360°.  La lance est muni d'une buse de pulvérisation en laiton à cone creux 1,1 mm.  Le flexible fait 1,5 m .<br><br><br><br>Volume contenu : 12 L<br><br>Pression d'utilisation : 6 bars<br><br>Poids à vide : 4,8kg<br><br><br><br>Accessoires (en option) : rallonge de lance jusqu'à 150 cm, cache herbicide (réf.3914 D).<br><br><br><br>Les avantages de ce produit : Poignée de lance ergonomique avec manomètre intégré. Couvercle de réservoir avec gobelets et gradué intégré. Base très large : stable même sur surface irrégulière. Large ouverture de remplissage avec tamis. Poignée de levier ergonomique avec longueur ajustable. Levier de pompage réversible gauche/droite. Rangement pratique pour la lance de pulvérisation. Crochet pratique pour cache herbicide sur les deux côtés|Pulvérisateurs à dos RenameClassement2 35|1|../img/import/mesto/mestopulveRS125.jpg|NON
MESTOPULVEPERF17L|Perfekt - Mesto|Ce pulvérisateur posséde un réservoir en plastique pratique avec une échelle graduée en litres et une pompe à piston simple à utiliser.  La lance en laiton est de 50 cm et est orientable progressivement.  La buse produit une pulvérisation fine.  Des joints et buses de rechange sont livrés avec le pulvérisateur.<br><br><br><br>Volume contenu : 17 L<br><br>Pression d'utilisation : 6 bars<br><br>Poids à vide : 4,3 kg<br><br>Balancier : sur le côté<br><br>Pompe à piston : en laiton<br><br><br><br>Accessoires (en option) : rallonge de lance jusqu'à 150 cm, cache herbicide (réf.3914 D).|Pulvérisateurs à dos RenameClassement2 35|1|../img/import/mesto/mestopulveperf17l.jpg|NON
MESTOPULVESTAB18L|Stabilus inox - Mesto|Stabilus posséde un réservoir en inox avec une échelle graduée en litres et une lance en laiton de 50 cm orientable progressivement munie d'une buse de pulvérisation fine.  Des joints et buses de rechange sont fournis avec le pulvérisateur.<br><br><br><br>Volume contenu : 18 L<br><br>Pression d'utilisation : 6 bars<br><br>Poids à vide : 5 kg<br><br>Balancier : sur le côté<br><br>Pompe à piston : en laiton<br><br><br><br>Accessoires (en option) : rallonge de lance jusqu'à 150 cm, cache herbicide (réf.3914 D).|Pulvérisateurs à dos RenameClassement2 35|1|../img/import/mesto/mestopulvestab18l.jpg|NON
