MESTOASSORJOINTS1004|Accessoires pour pulvérisateur - Mesto|Assortiment de joints pour lance standard.|Pulvérisateurs à dos RenameClassement2 35|1|;../img/import/mesto/mestoassrtjoint700.jpg;../img/import/mesto/mestobuse1302.jpg;../img/import/mesto/mestobuseguellepoiss.jpg;../img/import/mesto/mestojetplat2332.jpg;../img/import/mesto/mestocachedesher.jpg;../img/import/mesto/mestovalvepneu6b.jpg;../img/import/mesto/mestohelice1301.jpg;../img/import/mesto/mestokitdoseur.jpg;../img/import/mesto/mestorampepulve.jpg;../img/import/mesto/mestotubelance2364.jpg;../img/import/mesto/mestotubelancedroit.jpg|NON
BROUETTEPEINTE85L|Brouette de maçon|Brouette de 85 L.  Le bac peint  possède un nez rond renforcé et est ourlé pour plus de sécurité.  Le pneu 4 ply, chambre à air, est monté sur une jante en PVC. Brancards et supports pliés en une pièce. Modèle soudé. Coffre renforcé.|Brouettes RenameClassement2 41;Accueil|1|../img/import/brouettes/brouettepeinte.jpg|OUI
BROUETTEGALVA100L|Brouette professionnelle - modèle 36 cg|Brouette professionnelle de 100 L.  Le bac rectangulaire est galvanisé.  Le pneu 2 ply à chambre à air est monté sur une jante en PP. La roue est montée sur un  système à galets.  Le châssis peint est en tube rond, monobloc avec un renfort et des patins d'usure aux pieds, des traverses sous le bac et un support avant de bac.|Brouettes RenameClassement2 41|1|../img/import/brouettes/galva.jpg|NON
BROUETTEBACPE160L|Brouette en plastique|Brouette professionnelle  avec bac plastique PE de 160 L. Pneu 4 ply monté sur jante PVC.  Le châssis est galvanisé.|Brouettes RenameClassement2 41|1|../img/import/brouettes/brouetteplastique160l.jpg;../img/import/brouettes/brouetteplastique100l.jpg|NON
BROUETTE2ROUESPE160|Brouette en plastique 2 roues|Brouette professionnelle de 160 L.  Le bac est en plastqiue PE.  Le pneu 4 ply à chambre à air est monté sur une jante en PVC.  Le système  de roulement est un système à billes.  Le châssis est galvanisé.|Brouettes RenameClassement2 41|1|../img/import/brouettes/brouette2rouesplastique.jpg|NON
PNEU2PLY400X100PCEDE|Pièces détachées pour brouette||Brouettes RenameClassement2 41|1|../img/import/brouettes/roue2.jpg;../img/import/brouettes/roue1.jpg|OUI
BROUETTEBRIQUE|Brouette à briques|Brouette brancard en tube oval, peinte en gris, roue gonflable 4 ply avec roulements à billes.<br><br>Brouette conçue pour le transport de briques, de bûches, etc|Brouettes RenameClassement2 41|1||OUI
CHARIOTJARDIN|Chariot de jardin avec benne basculante|Contenu max de 250 kg, bac plastique 93 x 50,5 x h.51 cm<br><br>Roue 10x3,5|Brouettes RenameClassement2 41|1||OUI
DCMEPANDEURROTARY|DCM|Epandeur rotatif équipé de pneus pour un usage professionnel . Cet épandeur ?  permet un épandage homogène du produit en 180° , avec bâche de trémie, il convient pour les engrais en MINIGRAN®, en émietté et en granulé, les engrais calcaires, les semences de gazon, il convient pour les sels de dégel. Le montage et le réglage sont simples. Capacité de 32 L<br>|Epandeurs RenameClassement2 56|1||NON
SCOTTSPROFESSIONNAL|Scotts|Semoir  de precision pour les engrais granules , les herbicides et les matieres seches de couverture.<br><br>sa largeur d'epandage est d'environ 91cm et la contenance de son reservoir est de 46 litres.|Epandeurs RenameClassement2 56|1|;../img/import/epandeurs/epandeur_scotts.jpg|NON
GRANOMAX|Granomax|Granomax est un épandeur à main pour engrais et sel avec fonction de dosage 5 positions. (entre 0,1 et 4 mm)<br><br>Pour lépandage d'engrais, de sable et de semences sur la pelouse, pour l'application de sel de déneigement en hiver ou pour couvrir les taches d'huile dans la rue avec des granulats absorbants.<br><br>La géométrie réfléchie de la buse d'épandage compartimentée permet d'obtenir en tout temps un épandage parfaitement homogène.<br><br>En effectuant des mouvements latéraux, il est possible d'atteindre 2 m.<br><br>Sac de 6,5 l soit environ 5 kg d'en <br> <br><a target='frmPDF' href='/documents/Granomax.pdf'>Description détaillée (format pdf)</a>|Epandeurs RenameClassement2 56|1|../img/import/divers/Granomax.jpg|OUI
HANDYGREENII|Handy Green II|HANDYGREEN II est un épandeur rotatif manuel compact idéal pour les petites surfaces.<br><br>La capacité de lépandeur HANDYGREEN II permet de couvrir jusquà 90 m2 de surface. Il peut être utilisé pour lapplication des engrais, des semences de gazon, de désherbant micro granulé, voire même du sel de déneigement sur les petites surfaces verglacées.<br><br><br><br>Trémie en plastique anti corrosion. Poignée ergonomique. Agitateur. Réglage de débit. Gâchette marche/arrêt.<br><br><br><br>Avantages produit : <br><br><br><br>Épandeur manuel compact facile à ranger et à transporter.<br><br>Conception ergonomique pour réduire la fatigue des poignets.<br><br>Polyvalent : pour lapplication des engrais, semences de gazon, désherbants micro granulés, sel de déneigement.<br><br>Précis, dosage facile.Pas de contact direct av|Epandeurs RenameClassement2 56|1||OUI
